Tipus;Keresztmetszet;Atmero;Suly;Suly;Potteher;Rugalmassagi_modulusz;Hofok_tenyezo
empty;[mm2];[mm];[kg/m];[N/m];[N/m];[N/mm2];[1/°C]
50 AV4;49.500000;9.000000;0.400000;3.924000;5.500000;196200.000000;0.0000115
70 AV4;65.800000;10.500000;0.535000;5.248350;5.875000;196200.000000;0.0000115
95 AV4;93.300000;12.500000;0.755000;7.406550;6.375000;196200.000000;0.0000115
95 AASC;93.250000;12.500000;0.258100;2.531961;6.375000;60000.000000;0.0000230
120 AASC;117.000000;14.000000;0.324000;3.178440;6.750000;56000.000000;0.0000230
240 AASC;242.700000;20.230000;0.678000;6.651180;8.307500;56000.000000;0.0000230
300 AASC;299.400000;22.470000;0.836000;8.201160;8.867500;56000.000000;0.0000230
375 AASC;375.600000;25.200000;1.092000;10.712520;9.550000;57000.000000;0.0000230
640 AASC;643.300000;33.000000;1.807000;17.726670;11.500000;54000.000000;0.0000230
50/30 ACSR;81.000000;11.700000;0.378000;3.708180;6.175000;98750.000000;0.0000153
95/55 ACSR;152.810000;16.000000;0.712000;6.984720;7.250000;98750.000000;0.0000153
110/20 ACSR;132.620000;15.100000;0.477000;4.679370;7.025000;72200.000000;0.0000191
150/25 ACSR old;181.040000;17.600000;0.648000;6.356880;7.650000;73575.000000;0.0000187
150/25 ACSR new;173.110000;17.100000;0.608000;5.964480;7.525000;72200.000000;0.0000191
185/60 ACSR;247.200000;20.780000;1.070000;10.496700;8.445000;88300.000000;0.0000167
250/40 ACSR;293.210000;22.400000;1.039000;10.192590;8.850000;72200.000000;0.0000193
350/50 ACSR;402.900000;26.100000;1.351000;13.253310;9.775000;66500.000000;0.0000193
381/87 ACSR;467.400000;28.140000;1.751100;17.178291;10.285000;82000.000000;0.0000018
CONDOR ACSR;454.510000;27.720000;1.521000;14.921010;10.180000;66500.000000;0.0000193
ACCC AMSTERDAM;414.500000;23.550000;1.102000;10.810620;9.137500;64200.000000;0.0000188
CARDINAL ACSR;547.350000;30.420000;1.826000;17.913060;10.855000;66500.000000;0.0000193
500/65 ACSR;570.210000;31.050000;1.935000;18.982350;11.012500;66500.000000;0.0000193
680/85 ACSR;764.600000;36.000000;2.550000;25.015500;12.250000;66500.000000;0.0000193
120/120 AACSR;251.070000;20.800000;1.480000;14.518800;8.450000;122000.000000;0.0000140
263/110 AACSR;375.370000;26.000000;1.770000;17.363700;9.750000;97500.000000;0.0000162
570/120 AACSR;697.300000;34.220000;2.581000;25.319610;11.805000;76000.000000;0.0000182
120 AlFe 3;170.180000;16.880000;0.704000;6.906240;7.470000;104000.000000;0.0000176
450 AlFe 8;481.100000;28.700000;1.624000;15.931440;10.425000;86000.000000;0.0000205
95B40z OPGW;133.500000;16.400000;0.615000;6.033150;7.350000;93000.000000;0.0000166
112B56z OPGW;168.700000;18.100000;0.811000;7.955910;7.775000;98000.000000;0.0000160
90_48S_Lg_cable_Opgw;95.070000;13.080000;0.399000;3.914190;6.520000;92120.000000;0.0000176
AL3/A20SA 74/23 1x48 SMF OPGW;97.800000;13.600000;0.404000;3.963240;6.650000;82100.000000;0.0000183
AL3/A20SA 120/35 1x48 SMF OPGW;154.500000;16.600000;0.599000;5.876190;7.400000;80600.000000;0.0000185
AA/St 125/50;174.600000;17.800000;0.774000;7.592940;7.700000;91900.000000;0.0000163
AA/St 88/50 OPGW;137.700000;15.800000;0.668000;6.553080;7.200000;101200.000000;0.0000153
AA/St 59/25 OPGW;83.800000;12.600000;0.396000;3.884760;6.400000;93600.000000;0.0000161
AT-27DT-048-CLFE;151.740000;13.900000;0.150000;1.471500;6.725000;7675.000000;0.0000064
AT-3BE27RT-048-CRCA;110.470000;11.860000;0.104300;1.023183;6.215000;13500.000000;0.0000046
TDS14012_RO FAL4/EKS ADSS;181.450000;15.200000;0.190000;1.863900;7.050000;15200.000000;0.0000073
XOTKtsdD-16 kN ADSS;130.630000;12.900000;0.135000;1.324350;6.475000;21000.000000;0.0000023
F-501EC-297 OPGW;93.550000;12.730000;0.395000;3.874950;6.432500;102510.000000;0.0000175
SFPOC/SFSJ-J-9783 OPGW;123.000000;15.400000;0.558000;5.473980;7.100000;99487.000000;0.0000169
SFPOC/SFSJ-J-10983 OPGW;126.000000;15.500000;0.799000;7.838190;7.125000;140000.000000;0.0000173
SFPOC/SFSJ-J-10976 OPGW;154.000000;17.000000;0.612000;6.003720;7.500000;84941.000000;0.0000183
SFPOC/SFSJ-J-10985 OPGW;238.000000;20.800000;0.710000;6.965100;8.450000;64671.000000;0.0000223
ASLH-D(S)bb 1x24 (AA/St 59/30-12.2);88.800000;12.600000;0.420000;4.120200;6.400000;98400.000000;0.0000156
425/55 ACSS;481.440000;28.500000;1.600000;15.696000;10.375000;68000.000000;0.0000193
